Day;Seconds;Sensor 0;Sensor 1;Sensor2
1.0;64231.0;0.0;26.33;13.165
1.0;64256.0;25.32;26.33;25.825
1.0;64282.0;25.32;26.33;25.825
1.0;64307.0;25.41;26.33;25.869999999999997
1.0;64332.0;25.41;26.33;25.869999999999997
1.0;64357.0;25.41;26.33;25.869999999999997
1.0;64382.0;25.41;26.33;25.869999999999997
1.0;64407.0;25.41;26.33;25.869999999999997
1.0;64432.0;25.5;26.33;25.915
1.0;64457.0;25.5;26.24;25.869999999999997
1.0;64483.0;25.5;26.15;25.825
1.0;64508.0;25.41;26.15;25.78
1.0;64533.0;25.5;26.15;25.825
1.0;64558.0;25.41;26.06;25.735
1.0;64583.0;25.5;26.15;25.825
1.0;64609.0;25.5;26.15;25.825
1.0;64634.0;25.5;26.15;25.825
1.0;64659.0;25.5;26.15;25.825
1.0;64684.0;25.5;26.15;25.825
1.0;64709.0;25.5;26.15;25.825
1.0;64734.0;25.5;26.15;25.825
1.0;64760.0;25.5;26.15;25.825
1.0;64785.0;25.5;26.15;25.825
1.0;64810.0;25.5;26.15;25.825
1.0;64835.0;25.6;26.06;25.83
1.0;64860.0;25.6;26.06;25.83
1.0;64886.0;25.6;26.06;25.83
1.0;64911.0;25.6;26.15;25.875
1.0;64936.0;25.69;26.15;25.92
1.0;64961.0;25.69;26.15;25.92
1.0;64986.0;25.69;26.15;25.92
1.0;65011.0;25.69;26.15;25.92
1.0;65036.0;25.69;26.15;25.92
1.0;65061.0;25.69;26.24;25.965
1.0;65087.0;25.69;26.24;25.965
1.0;65112.0;25.69;26.33;26.009999999999998
1.0;65137.0;25.78;26.33;26.055
1.0;65162.0;25.78;26.24;26.009999999999998
1.0;65187.0;25.69;26.15;25.92
1.0;65212.0;25.69;26.15;25.92
1.0;65237.0;25.69;26.15;25.92
1.0;65262.0;25.69;26.06;25.875
1.0;65288.0;25.69;25.96;25.825000000000003
1.0;65313.0;25.69;26.06;25.875
1.0;65338.0;25.69;26.06;25.875
1.0;65363.0;25.69;26.06;25.875
1.0;65388.0;25.69;26.06;25.875
1.0;65413.0;25.69;25.96;25.825000000000003
1.0;65438.0;25.78;26.06;25.92
1.0;65464.0;25.69;26.06;25.875
1.0;65489.0;25.78;26.06;25.92
1.0;65514.0;25.69;25.96;25.825000000000003
1.0;65539.0;25.69;25.96;25.825000000000003
1.0;65564.0;25.69;25.87;25.78
1.0;65589.0;25.69;25.87;25.78
1.0;65614.0;25.69;25.87;25.78
1.0;65639.0;25.69;25.87;25.78
1.0;65664.0;25.78;25.87;25.825000000000003
1.0;65690.0;25.69;25.87;25.78
1.0;65715.0;25.69;25.87;25.78
1.0;65740.0;25.78;25.78;25.78
1.0;65765.0;25.69;25.87;25.78
1.0;65790.0;25.78;25.87;25.825000000000003
1.0;65816.0;25.78;25.87;25.825000000000003
1.0;65841.0;25.78;25.87;25.825000000000003
1.0;65866.0;25.78;25.87;25.825000000000003
1.0;65891.0;25.78;25.87;25.825000000000003
1.0;65916.0;25.78;25.87;25.825000000000003
1.0;65941.0;25.78;25.96;25.87
1.0;65966.0;25.78;25.96;25.87
1.0;65992.0;25.78;25.96;25.87
1.0;66017.0;25.78;25.96;25.87
1.0;66042.0;25.78;26.06;25.92
1.0;66067.0;25.78;25.96;25.87
1.0;66092.0;25.78;25.96;25.87
1.0;66117.0;25.78;25.96;25.87
1.0;66142.0;25.78;25.96;25.87
1.0;66168.0;25.78;25.96;25.87
1.0;66193.0;25.87;25.96;25.915
1.0;66218.0;25.87;26.06;25.965
1.0;66243.0;25.87;25.96;25.915
1.0;66268.0;25.87;26.06;25.965
1.0;66294.0;25.87;26.06;25.965
1.0;66319.0;25.87;26.06;25.965
1.0;66344.0;25.87;26.06;25.965
1.0;66369.0;25.87;26.06;25.965
1.0;66394.0;25.87;26.06;25.965
1.0;66419.0;25.87;26.06;25.965
1.0;66445.0;25.87;26.06;25.965
1.0;66470.0;25.87;26.06;25.965
1.0;66495.0;25.87;26.06;25.965
1.0;66520.0;25.87;26.06;25.965
1.0;66545.0;25.87;26.06;25.965
1.0;66570.0;25.87;26.06;25.965
1.0;66596.0;25.87;26.06;25.965
1.0;66621.0;25.87;26.06;25.965
1.0;66646.0;25.87;26.06;25.965
1.0;66671.0;25.87;26.06;25.965
1.0;66696.0;25.87;26.06;25.965
1.0;66721.0;25.87;26.06;25.965
1.0;66746.0;25.87;26.06;25.965
1.0;66772.0;25.87;25.96;25.915
1.0;66797.0;25.87;25.96;25.915
1.0;66822.0;25.87;25.96;25.915
1.0;66847.0;25.87;25.96;25.915
1.0;66872.0;25.87;25.96;25.915
1.0;66897.0;25.87;25.96;25.915
1.0;66922.0;25.87;25.96;25.915
1.0;66948.0;25.87;25.96;25.915
1.0;66973.0;25.87;25.96;25.915
1.0;66998.0;25.87;25.87;25.87
1.0;67023.0;25.87;25.87;25.87
1.0;67048.0;25.87;25.87;25.87
1.0;67073.0;25.87;25.87;25.87
1.0;67098.0;25.87;25.87;25.87
1.0;67124.0;25.87;25.87;25.87
1.0;67149.0;25.87;25.96;25.915
1.0;67174.0;25.87;25.96;25.915
1.0;67199.0;25.87;25.96;25.915
1.0;67224.0;25.87;26.06;25.965
1.0;67249.0;25.87;26.06;25.965
1.0;67274.0;25.87;26.06;25.965
1.0;67300.0;25.87;26.15;26.009999999999998
1.0;67325.0;25.87;26.06;25.965
1.0;67350.0;25.87;26.15;26.009999999999998
1.0;67375.0;25.96;26.15;26.055
1.0;67400.0;25.87;26.06;25.965
1.0;67425.0;25.87;26.06;25.965
1.0;67450.0;25.87;26.06;25.965
1.0;67476.0;25.87;26.06;25.965
1.0;67501.0;25.96;25.96;25.96
1.0;67526.0;25.87;25.87;25.87
1.0;67551.0;25.87;25.87;25.87
1.0;67576.0;25.87;25.78;25.825000000000003
1.0;67601.0;25.87;25.69;25.78
1.0;67627.0;25.78;25.69;25.735
1.0;67652.0;25.78;25.69;25.735
1.0;67677.0;25.78;25.6;25.69
1.0;67702.0;25.69;25.41;25.55
1.0;67727.0;25.69;25.32;25.505000000000003
1.0;67752.0;25.69;25.32;25.505000000000003
1.0;67778.0;25.6;25.14;25.37
1.0;67803.0;25.5;25.05;25.275
1.0;67828.0;25.5;24.95;25.225
1.0;67853.0;25.5;24.95;25.225
1.0;67878.0;25.41;24.86;25.134999999999998
1.0;67903.0;25.32;24.77;25.045
1.0;67928.0;25.32;24.68;25.0
1.0;67953.0;25.32;24.68;25.0
1.0;67978.0;25.23;24.59;24.91
1.0;68004.0;25.23;24.41;24.82
1.0;68029.0;25.14;24.32;24.73
1.0;68054.0;25.14;24.32;24.73
1.0;68079.0;25.05;24.32;24.685000000000002
1.0;68104.0;25.05;24.22;24.634999999999998
1.0;68129.0;25.05;24.13;24.59
1.0;68154.0;25.05;24.13;24.59
1.0;68180.0;24.95;24.13;24.54
1.0;68205.0;24.95;24.04;24.494999999999997
1.0;68230.0;24.95;23.95;24.45
1.0;68255.0;24.95;23.95;24.45
1.0;68280.0;24.95;23.95;24.45
1.0;68323.0;24.86;23.95;24.405
1.0;68383.0;24.77;23.95;24.36
1.0;68425.0;24.77;23.95;24.36
1.0;68485.0;24.68;23.95;24.314999999999998
1.0;68527.0;24.68;23.95;24.314999999999998
1.0;68586.0;24.68;23.95;24.314999999999998
1.0;68629.0;24.68;23.95;24.314999999999998
1.0;68688.0;24.59;23.95;24.27
1.0;68731.0;24.68;23.95;24.314999999999998
1.0;68790.0;24.68;23.95;24.314999999999998
1.0;68833.0;24.68;23.95;24.314999999999998
1.0;68893.0;24.68;23.95;24.314999999999998
1.0;68938.0;24.77;23.95;24.36
1.0;68999.0;24.77;23.95;24.36
1.0;69044.0;24.95;23.95;24.45
1.0;69104.0;24.95;23.95;24.45
1.0;69151.0;24.95;23.95;24.45
1.0;69176.0;24.95;25.14;25.045
1.0;69201.0;24.95;25.32;25.134999999999998
1.0;69226.0;25.05;25.5;25.275
1.0;69286.0;25.05;25.5;25.275
1.0;69328.0;25.05;25.5;25.275
1.0;69390.0;25.05;25.5;25.275
1.0;69432.0;25.05;25.5;25.275
1.0;69498.0;25.05;25.5;25.275
1.0;69541.0;25.05;25.5;25.275
1.0;69600.0;25.14;25.5;25.32
1.0;69645.0;25.14;25.5;25.32
1.0;69705.0;25.05;25.5;25.275
1.0;69752.0;25.05;25.96;25.505000000000003
1.0;69795.0;25.05;25.96;25.505000000000003
1.0;69820.0;25.05;25.6;25.325000000000003
1.0;69845.0;24.95;25.32;25.134999999999998
1.0;69870.0;24.95;25.05;25.0
1.0;69896.0;24.86;24.86;24.86
1.0;69921.0;24.77;24.59;24.68
1.0;69946.0;24.77;24.32;24.545
1.0;70009.0;24.68;24.32;24.5
1.0;70051.0;24.59;24.32;24.455
1.0;70115.0;24.59;24.32;24.455
1.0;70157.0;24.59;24.32;24.455
1.0;70220.0;24.59;24.32;24.455
1.0;70262.0;24.68;24.32;24.5
1.0;70323.0;24.68;24.32;24.5
1.0;70365.0;24.77;24.32;24.545
1.0;70425.0;24.77;24.32;24.545
1.0;70467.0;24.86;25.14;25.0
1.0;70510.0;24.86;25.14;25.0
1.0;70570.0;24.86;25.14;25.0
1.0;70630.0;24.95;25.14;25.045
1.0;70675.0;24.95;25.14;25.045
1.0;70734.0;24.95;25.14;25.045
1.0;70779.0;24.95;25.14;25.045
1.0;70844.0;24.95;25.14;25.045
1.0;70886.0;25.05;25.14;25.095
1.0;70946.0;25.05;25.14;25.095
1.0;70988.0;25.05;25.14;25.095
1.0;71047.0;25.05;25.14;25.095
1.0;71089.0;25.05;25.14;25.095
1.0;71201.0;25.05;25.14;25.095
1.0;71330.0;25.05;25.14;25.095
1.0;76394.0;25.32;25.87;25.595
1.0;76420.0;25.41;25.96;25.685000000000002
1.0;76445.0;25.32;25.96;25.64
1.0;76470.0;25.32;26.06;25.689999999999998
1.0;76515.0;25.41;26.06;25.735
1.0;76540.0;25.41;25.5;25.455
1.0;76565.0;25.41;25.32;25.365000000000002
1.0;76590.0;25.41;25.23;25.32
1.0;76615.0;25.41;25.23;25.32
1.0;76641.0;25.41;25.14;25.275
1.0;76666.0;25.41;25.05;25.23
1.0;76691.0;25.41;25.05;25.23
1.0;76716.0;25.41;24.95;25.18
1.0;76741.0;25.5;24.95;25.225
1.0;76766.0;25.5;24.86;25.18
1.0;76791.0;25.5;24.86;25.18
1.0;76816.0;25.5;24.86;25.18
1.0;76841.0;25.41;24.77;25.09
1.0;76866.0;25.5;24.77;25.134999999999998
1.0;76891.0;25.5;24.68;25.09
1.0;76917.0;25.5;24.68;25.09
1.0;76942.0;25.5;24.68;25.09
1.0;76967.0;25.41;24.59;25.0
1.0;76992.0;25.5;24.59;25.045
1.0;77017.0;25.5;24.59;25.045
1.0;77043.0;25.5;24.41;24.955
1.0;77068.0;25.5;24.41;24.955
1.0;77093.0;25.5;24.41;24.955
1.0;77118.0;25.5;24.22;24.86
1.0;77143.0;25.5;24.13;24.814999999999998
1.0;77168.0;25.5;24.22;24.86
1.0;77194.0;25.5;24.32;24.91
1.0;77219.0;25.5;24.32;24.91
1.0;77244.0;25.5;24.22;24.86
1.0;77269.0;25.5;24.13;24.814999999999998
1.0;77294.0;25.5;24.13;24.814999999999998
1.0;77319.0;25.5;23.95;24.725
1.0;77344.0;25.5;23.95;24.725
1.0;77370.0;25.5;23.95;24.725
1.0;77395.0;25.5;23.86;24.68
1.0;77420.0;25.5;23.86;24.68
1.0;77445.0;25.5;23.86;24.68
1.0;77470.0;25.5;23.86;24.68
1.0;77496.0;25.5;23.86;24.68
1.0;77521.0;25.5;23.86;24.68
1.0;77546.0;25.5;23.77;24.634999999999998
1.0;77571.0;25.5;23.77;24.634999999999998
1.0;77596.0;25.5;23.77;24.634999999999998
1.0;77621.0;25.5;23.77;24.634999999999998
1.0;77647.0;25.41;23.77;24.59
1.0;77672.0;25.5;23.68;24.59
1.0;77697.0;25.5;23.68;24.59
1.0;77722.0;25.5;23.68;24.59
1.0;77747.0;25.5;23.59;24.545
1.0;77772.0;25.41;23.59;24.5
1.0;77798.0;25.41;23.59;24.5
1.0;77823.0;25.41;23.59;24.5
1.0;77848.0;25.41;23.5;24.455
1.0;77873.0;25.41;23.59;24.5
1.0;77898.0;25.5;23.5;24.5
1.0;77924.0;25.5;23.32;24.41
1.0;77949.0;25.5;23.41;24.455
1.0;77974.0;25.5;23.41;24.455
1.0;77999.0;25.5;23.5;24.5
1.0;78024.0;25.5;23.32;24.41
1.0;78049.0;25.41;23.41;24.41
1.0;78074.0;25.5;23.41;24.455
1.0;78100.0;25.5;23.41;24.455
1.0;78125.0;25.5;23.5;24.5
1.0;78150.0;25.5;23.41;24.455
1.0;78175.0;25.5;23.5;24.5
1.0;78200.0;25.5;23.41;24.455
1.0;78226.0;25.5;23.5;24.5
1.0;78251.0;25.5;23.5;24.5
1.0;78275.0;25.5;23.5;24.5
1.0;78301.0;25.5;23.59;24.545
1.0;78326.0;25.5;23.59;24.545
1.0;78351.0;25.5;23.41;24.455
1.0;78376.0;25.5;23.5;24.5
1.0;78401.0;25.5;23.5;24.5
1.0;78427.0;25.5;23.59;24.545
1.0;78452.0;25.5;23.59;24.545
1.0;78477.0;25.5;23.5;24.5
1.0;78502.0;25.5;23.5;24.5
1.0;78527.0;25.5;23.59;24.545
1.0;78552.0;25.5;23.41;24.455
1.0;78577.0;25.5;23.32;24.41
1.0;78603.0;25.5;23.41;24.455
1.0;78628.0;25.5;23.41;24.455
1.0;78653.0;25.5;23.41;24.455
1.0;78678.0;25.5;23.5;24.5
1.0;78703.0;25.5;23.41;24.455
1.0;78729.0;25.5;23.41;24.455
1.0;78754.0;25.5;23.32;24.41
1.0;78779.0;25.5;23.05;24.275
1.0;78804.0;25.5;23.05;24.275
1.0;78829.0;25.5;23.14;24.32
1.0;78854.0;25.5;23.23;24.365000000000002
1.0;78879.0;25.5;23.23;24.365000000000002
1.0;78904.0;25.5;23.14;24.32
1.0;78929.0;25.5;23.23;24.365000000000002
1.0;78955.0;25.41;23.23;24.32
1.0;78980.0;25.5;23.32;24.41
1.0;79005.0;25.5;23.41;24.455
1.0;79030.0;25.5;23.5;24.5
1.0;79055.0;25.5;23.59;24.545
1.0;79081.0;25.5;23.5;24.5
1.0;79106.0;25.5;23.59;24.545
1.0;79131.0;25.5;23.32;24.41
1.0;79156.0;25.41;23.05;24.23
1.0;79181.0;25.5;23.14;24.32
1.0;79206.0;25.41;23.23;24.32
1.0;79231.0;25.41;23.23;24.32
1.0;79256.0;25.5;23.32;24.41
1.0;79282.0;25.41;23.14;24.275
1.0;79307.0;25.41;23.14;24.275
1.0;79332.0;25.5;23.14;24.32
1.0;79357.0;25.41;23.05;24.23
1.0;79382.0;25.5;23.14;24.32
1.0;79408.0;25.5;23.23;24.365000000000002
1.0;79433.0;25.5;23.23;24.365000000000002
1.0;79458.0;25.5;23.23;24.365000000000002
1.0;79483.0;25.5;23.32;24.41
1.0;79508.0;25.5;23.41;24.455
1.0;79534.0;25.5;23.41;24.455
1.0;79559.0;25.5;23.41;24.455
1.0;79584.0;25.5;23.5;24.5
1.0;79609.0;25.5;23.5;24.5
1.0;79634.0;25.5;23.59;24.545
1.0;79660.0;25.5;23.59;24.545
1.0;79685.0;25.5;23.59;24.545
1.0;79710.0;25.5;23.59;24.545
1.0;79735.0;25.5;23.59;24.545
1.0;79760.0;25.5;23.59;24.545
1.0;79785.0;25.5;23.59;24.545
1.0;79810.0;25.5;23.59;24.545
1.0;79835.0;25.5;23.59;24.545
1.0;79860.0;25.5;23.59;24.545
1.0;79886.0;25.5;23.68;24.59
1.0;79911.0;25.5;23.68;24.59
1.0;79936.0;25.5;23.68;24.59
1.0;79961.0;25.5;23.68;24.59
1.0;79986.0;25.6;23.68;24.64
1.0;80011.0;25.6;23.77;24.685000000000002
1.0;80037.0;25.6;23.86;24.73
1.0;80062.0;25.5;23.59;24.545
1.0;80087.0;25.6;23.68;24.64
1.0;80112.0;25.6;23.68;24.64
1.0;80137.0;25.5;23.77;24.634999999999998
1.0;80162.0;25.5;23.68;24.59
1.0;80188.0;25.6;23.68;24.64
1.0;80213.0;25.6;23.77;24.685000000000002
1.0;80238.0;25.5;23.77;24.634999999999998
1.0;80263.0;25.5;23.68;24.59
1.0;80288.0;25.5;23.68;24.59
1.0;80313.0;25.5;23.68;24.59
1.0;80339.0;25.5;23.68;24.59
1.0;80364.0;25.5;23.68;24.59
1.0;80389.0;25.5;23.41;24.455
1.0;80414.0;25.5;23.41;24.455
1.0;80439.0;25.5;23.05;24.275
1.0;80465.0;25.5;22.86;24.18
1.0;80490.0;25.5;22.86;24.18
1.0;80515.0;25.5;22.41;23.955
1.0;80540.0;25.5;22.23;23.865000000000002
1.0;80565.0;25.5;22.23;23.865000000000002
